label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
A5_ensemble_mean_tf0.50,bull,0.0,0.9512006246013726,0.0,0.0,0.0,none,0.0,0.0,0.0,0.04880472541312495,0.09063633560490272,9.828628570934621e-05,0.49404560181966234,0.05975219731988435,0.11409843486288597
A5_ensemble_mean_tf0.50,neutral,0.0,0.9294676166955482,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07041785713072017,0.11171583325319843,0.00012108262216612052,0.5463417897444125,0.19705811018464225,0.11000034736555366
A5_ensemble_mean_tf0.50,bear,0.0,0.8039555686785715,0.0,0.0,0.0,none,0.0,0.0,0.0,0.195680803000984,0.10834648035564076,0.00012004633147935434,0.48110993911889594,0.04796072371782509,0.1504787184963945
A5_ensemble_mean_tf0.60,bull,0.0,0.9518878211977112,0.0,0.0,0.0,none,0.0,0.0,0.0,0.048086794945551625,0.09235102460821294,9.98418643147336e-05,0.49637488568867755,0.003390756589484744,0.10728201551036816
A5_ensemble_mean_tf0.60,neutral,0.0,0.9207516294312666,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07924837977624949,0.10648655978150343,0.00011546526761909075,0.5453414382669735,0.04664694067543361,0.10006013587862628
A5_ensemble_mean_tf0.60,bear,0.0,0.8750009046716204,0.0,0.0,0.0,none,0.0,0.0,0.0,0.12499910407838835,0.12275743057527448,0.00013336201363663952,0.4886901863590833,0.0678780881272165,0.11444196746241199
A5_ensemble_min_tf0.40,bull,0.0,0.8993825199126099,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1005201612513685,0.08064062131763458,8.701564415600288e-05,0.4952479404292374,0.1037125926564341,0.10381545306803251
A5_ensemble_min_tf0.40,neutral,0.0,0.827520869498479,0.0,0.0,0.0,none,0.0,0.0,0.0,0.17250455375506646,0.09481217655762911,0.00010276444728414238,0.5489651058073173,0.11510276127758731,0.09966630135174977
A5_ensemble_min_tf0.40,bear,0.0,0.6614915907592611,0.0,0.0,0.0,none,0.0,0.0,0.0,0.33850841585565467,0.08428258174446152,9.235945977458443e-05,0.4828739372313534,0.019695815975333236,0.1090954314128659
A5_ensemble_min_tf0.50,bull,0.0,0.8862467439501571,0.0,0.0,0.0,none,0.0,0.0,0.0,0.11376978905578536,0.08386385598116457,9.07336206189414e-05,0.49404560181966234,0.03741790417662236,0.1034736241522618
A5_ensemble_min_tf0.50,neutral,0.0,0.8535217725204912,0.0,0.0,0.0,none,0.0,0.0,0.0,0.14647823601472662,0.1021609938933783,0.00011067864288707729,0.5463417897444125,0.17900160893507103,0.10070308432249078
A5_ensemble_min_tf0.50,bear,0.0,0.6597171931179185,0.0,0.0,0.0,none,0.0,0.0,0.0,0.3402828134792533,0.09403082626098566,0.00010334014165165485,0.48110993911889594,0.06838247400307763,0.11051274713659147
A5_ensemble_min_tf0.60,bull,0.0,0.8917728166961427,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10818323856120658,0.08731826283162884,9.431130921424885e-05,0.49637488568867755,0.009658476048496402,0.09915340330180945
A5_ensemble_min_tf0.60,neutral,0.0,0.8393075512623437,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1606924571307318,0.09481638780107456,0.00010275472085543276,0.5453414382669735,0.047436147029564925,0.09049997766018361
A5_ensemble_min_tf0.60,bear,0.0,0.7609937190093642,0.0,0.0,0.0,none,0.0,0.0,0.0,0.23900628860057305,0.11065894208503467,0.00012018763034734993,0.4886901863590833,0.053337207441942695,0.09823440050466746
B1_linucb_tf0.40,bull,0.0,0.9205882352941177,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0794117739117646,0.0890249424926545,9.629339660268572e-05,0.4952479404292374,0.13073164231738874,0.11230622092969524
B1_linucb_tf0.40,neutral,0.0,0.9078877551020408,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09220409071061214,0.11040646688096557,0.00011983161721809828,0.5489651058073173,0.1440722868503991,0.11213555089881881
B1_linucb_tf0.40,bear,0.0,0.9057547169811321,0.0,0.0,0.0,none,0.0,0.0,0.0,0.094245292076415,0.12182305578370894,0.00013591764324516565,0.4828739372313534,0.05500943749883884,0.20643171690507583
B1_linucb_tf0.50,bull,0.0,0.9334093264248705,0.0,0.0,0.0,none,0.0,0.0,0.0,0.06659068290922268,0.09456246533743448,0.0001027291677267867,0.49404560181966234,0.0866900349391173,0.11624073757384058
B1_linucb_tf0.50,neutral,0.0,0.9085189873417722,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09170886984240495,0.11515240133117972,0.0001249544123815525,0.5463417897444125,0.19716044656873824,0.11007114660714372
B1_linucb_tf0.50,bear,0.0,0.8898727272727274,0.0,0.0,0.0,none,0.0,0.0,0.0,0.11029091798799989,0.12764633590913255,0.00014284943099766357,0.48110993911889594,0.0633264888306705,0.19858693618073794
B1_linucb_tf0.60,bull,0.0,0.9052539062500001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09474610280253896,0.09438469810117622,0.00010221302926334537,0.49637488568867755,0.005727925674760797,0.10326539217101344
B1_linucb_tf0.60,neutral,0.0,0.9186250000000001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0813750091862499,0.11425440768234804,0.00012402021911666502,0.5453414382669735,0.08313093708111922,0.10088011940137355
B1_linucb_tf0.60,bear,0.0,0.94775,0.0,0.0,0.0,none,0.0,0.0,0.0,0.052250009477499845,0.13939724417113328,0.0001517045389621205,0.4886901863590833,0.08138435563129374,0.13295599087914134
B2_thompson_tf0.40,bull,0.0,0.9075020712510357,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09231152523264281,0.11106594385216521,0.00012014416698915865,0.4952479404292374,0.12131417960798391,0.11054092826602024
