label,regime,avg_action,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
full_no_uncertainty_tf0.50,neutral,1.549367088607595,1.0506329113924051,0.5341772151898734,none,0.0439746835443038,0.00027684366237014157,4.261249729394568e-05,0.08665823659800702,0.10455842282435776,0.00011332924963234279,0.5308439183446584,0.23962755283199097,0.13809711135123004
full_no_uncertainty_tf0.50,bear,1.4181818181818182,0.7418181818181818,0.3490909090909091,none,0.029890909090909093,0.00046447274162991124,0.00018582769900741045,0.08898182694242827,0.1326097462272632,0.0001498131083687578,0.4498568389555514,0.1823869261698351,0.29617186685144525
full_no_uncertainty_tf0.60,bull,2.16796875,1.17578125,0.609375,none,0.050455729166666664,0.00026103117368334386,4.618968781681452e-05,0.06459636304062956,0.10935768938060562,0.00011836229201583984,0.48971069999593536,-0.002607549893328354,0.1299519852992611
full_no_uncertainty_tf0.60,neutral,2.4166666666666665,0.9694444444444444,0.38333333333333336,none,0.04130555555555556,0.0002589652099747579,3.3803297029464584e-05,0.04961112010079467,0.11331322897191747,0.00012287469213155994,0.5318335125152173,0.092155269363081,0.1401581927978635
full_no_uncertainty_tf0.60,bear,1.8611111111111112,0.9944444444444445,0.37222222222222223,none,0.04161111111111111,0.00039318573707771543,7.071991860800398e-05,0.08338889763503254,0.11797437147861002,0.00012889514536139782,0.45759622129010274,0.29100358948481175,0.1746783868090968
full_no_regime_tf0.40,bull,2.0107705053852527,1.256006628003314,0.575807787903894,protective_put,0.05340513670256834,0.0002656887854122619,4.45068071267186e-05,0.05845071318841523,0.10199745329046396,0.00011003751579441745,0.487528292079142,0.12790790395076707,0.1378938435412081
full_no_regime_tf0.40,neutral,1.6244897959183673,1.0591836734693878,0.3979591836734694,none,0.04475510204081633,0.0003193242559627307,5.480077628364765e-05,0.07957143738955233,0.11031845943094695,0.00011971394900871949,0.5332815859639872,0.17755569525226228,0.14625143630578413
full_no_regime_tf0.40,bear,1.460377358490566,0.7169811320754716,0.24528301886792453,none,0.028000000000000004,0.0003714363967678103,6.226843437887188e-05,0.08524529180203103,0.11139620108059156,0.00012598237500864294,0.4497839105657028,0.07089060032012905,0.3034896897164287
full_no_regime_tf0.50,bull,2.338860103626943,1.1088082901554404,0.5025906735751295,none,0.04675647668393783,0.0002451923063535821,4.444854916677824e-05,0.053088091863338474,0.10610997368163105,0.00011485405614752594,0.48684380478360806,0.07090766893453777,0.13631283756810306
full_no_regime_tf0.50,neutral,2.551898734177215,0.9949367088607595,0.3620253164556962,none,0.04103797468354431,0.0002692025084778267,4.789868468077448e-05,0.047012667212597455,0.10872966850599687,0.00011787019965098588,0.530853803722031,0.27376386533532193,0.14413396968638775
full_no_regime_tf0.50,bear,2.0436363636363635,0.6472727272727272,0.29818181818181816,none,0.0256,0.0003613860558407045,0.00012816471195681973,0.060400008948028536,0.13434518609077598,0.00015178397280380177,0.4498434935165783,0.24794978436060336,0.29979597417632803
full_no_regime_tf0.60,bull,1.8333333333333333,1.0859375,0.5234375,none,0.04510416666666667,0.00024128810623754576,3.671261383542424e-05,0.07934896710428206,0.10993637530368121,0.00011899312997805285,0.48968404914757296,-0.015333217128798949,0.1274613070953176
full_no_regime_tf0.60,neutral,2.3333333333333335,0.8111111111111111,0.40555555555555556,none,0.033,0.00021737725732250384,3.747052684492941e-05,0.06208334220511361,0.11466871167024767,0.0001244173617723138,0.5318132430821821,0.09231553522383777,0.13770340608516177
full_no_regime_tf0.60,bear,2.111111111111111,0.6666666666666666,0.28888888888888886,none,0.026000000000000002,0.00032555478211147723,8.044331951401797e-05,0.06916667551889763,0.11540350171041994,0.0001261824967988473,0.45762103582194913,0.33294731570819086,0.1811238941352991
full_no_vol_tf0.40,bull,2.757249378624689,1.180613090306545,0.6222038111019056,none,0.0491880695940348,0.0002455783169186428,3.9576328319171575e-05,0.03381939599888357,0.10614106124253216,0.00011450596501292135,0.487523847131831,0.13601578771763448,0.1387274335902932
full_no_vol_tf0.40,neutral,2.36734693877551,0.9448979591836735,0.4020408163265306,none,0.03851020408163266,0.00024849508749193454,3.2255605333157517e-05,0.052591845700209215,0.11412038811625344,0.0001238026315019165,0.5332543240362265,0.1880253189157986,0.15169507968333065
full_no_vol_tf0.40,bear,2.086792452830189,0.7169811320754716,0.2679245283018868,none,0.027245283018867927,0.00037668808987053774,3.074625559875924e-05,0.06324529191954995,0.11922612991228286,0.00013477380124937572,0.44973642206036235,0.051056372160555426,0.31740558588621925
full_no_vol_tf0.50,bull,2.2466321243523315,1.2704663212435232,0.6683937823834197,none,0.05436269430051814,0.0002707388072067223,4.8718132881491485e-05,0.05459068253569664,0.10130902088408451,0.00010963985608539205,0.48683187108872966,0.07020544736426501,0.13630254926590185
full_no_vol_tf0.50,neutral,1.9822784810126581,1.09873417721519,0.5848101265822785,none,0.04658227848101266,0.0002942433713111775,4.868101901143713e-05,0.06832912278457536,0.10855175822478405,0.0001177047250635333,0.5308509228717925,0.24962929676375506,0.14001237143178308
full_no_vol_tf0.50,bear,1.68,0.6327272727272727,0.3090909090909091,none,0.02472727272727273,0.00035116431455646356,0.00013251187574322195,0.07483637249899294,0.13553773739648597,0.0001533185840398779,0.44984138197809204,0.19790567278413793,0.3070576147585263
full_no_vol_tf0.60,bull,1.7786458333333333,1.2604166666666667,0.5625,none,0.05497395833333334,0.00028020188211052687,3.966995739663578e-05,0.07996094628155732,0.10683375507400665,0.00011553549901068421,0.48964854881318615,-0.008325447867611158,0.1275891030382854
full_no_vol_tf0.60,neutral,1.1166666666666667,0.7666666666666667,0.4111111111111111,none,0.03177777777777778,0.00018610265088230758,2.8059016550173406e-05,0.11455556409321742,0.10708706527267794,0.00011617205225301242,0.5317733305100406,0.08718112106840764,0.1304940726141259
full_no_vol_tf0.60,bear,1.9277777777777778,0.7111111111111111,0.25555555555555554,none,0.029111111111111112,0.0003388069500896877,4.630537309777815e-05,0.06733334223729447,0.11855082935065878,0.00012970617680193702,0.45758756620626784,0.33831711799901293,0.18567185305405048
